# localizations for char/prov/opinion/MA modifiers, traits, religions, govtypes, cultures, etc.

# cultures
american;American;;;;;;;;;;;;;x

# traits
time_sick;Time Sickness;;;;;;;;;;;;;x
time_sick_desc;Time sickness causes exhaustion, catatonia, and a slow death.;;;;;;;;;;;;;x
time_sick_death;of complications from time sickness;;;;;;;;;;;;;x
modern_education;Modern Education;;;;;;;;;;;;;x
modern_education_desc;This character has a modern understanding of science, engineering, medicine, and philosophy.;;;;;;;;;;;;;x
gunner;Gunner;;;;;;;;;;;;;x
gunner_desc;This character possesses a precision-manufactured firearm, the training to use it, and some skill leading firearm troops.;;;;;;;;;;;;;x
loyal_companion;Loyal Companion;;;;;;;;;;;;;x

# modifiers
hold_hidden_workshop;Hidden Workshop;;;;;;;;;;;;;x
hold_hidden_workshop_desc;This is a hidden workshop, not a fully functioning castle with lands and levies.;;;;;;;;;;;;;x
no_comm_lang;Poor Common Languages;;;;;;;;;;;;;x
no_comm_lang_desc;This character has a poor understanding of the everyday languages used in European courts and among the commoners. Communication will be difficult until some local dialects are learned.;;;;;;;;;;;;;x
no_etiquette;Poor Etiquette;;;;;;;;;;;;;x
no_etiquette_desc;This character has a poor understanding of diplomatic etiquette. Not knowing how to properly address a king can be a serious gaffe.;;;;;;;;;;;;;x
no_trade_lang;Poor Trade Languages;;;;;;;;;;;;;x
no_trade_lang_desc;This character has a poor understanding of the languages used for trade, particularly Mediterranean Lingua Franca.;;;;;;;;;;;;;x
no_battle_xp;No Battle Experience;;;;;;;;;;;;;x
no_battle_xp_desc;This character has no experience with pitched medieval combat.;;;;;;;;;;;;;x
no_wep_training;Poor Combat Training;;;;;;;;;;;;;x
no_wep_training_desc;This character is not trained to wield medieval weapons, ride a horse in battle, or wear armor.;;;;;;;;;;;;;x
no_siegecraft;Poor Siegecraft;;;;;;;;;;;;;x
no_siegecraft_desc;This character has a poor understanding of medieval siegecraft.;;;;;;;;;;;;;x
no_logistics;Poor Logistics;;;;;;;;;;;;;x
no_logistics_desc;This character has a poor understanding of how to feed an army and keep it marching.;;;;;;;;;;;;;x
no_negotiation;Poor Negotiation;;;;;;;;;;;;;x
no_negotiation_desc;This character has a poor understanding of the styles of negotiation and haggling used in the middle ages. Managing people from an alien culture can be very difficult.;;;;;;;;;;;;;x
no_merchant_xp;No Mercantile Experience;;;;;;;;;;;;;x
no_merchant_xp_desc;This character has limited experience dealing with merchant guilds and burghers.;;;;;;;;;;;;;x
no_admin_xp;No Administrative Experience;;;;;;;;;;;;;x
no_admin_xp_desc;This character is untrained at the administrative skills required to oversee a medieval fief, making it difficult to collect taxes.;;;;;;;;;;;;;x
no_court_role;Ignorant of Court Roles;;;;;;;;;;;;;x
no_court_role_desc;This character does not have a good understanding of the structure of a medieval court. This lack of understanding will make many duties more difficult, and leave the character more vulnerable to gossip and plotting.;;;;;;;;;;;;;x
no_plotting_xp;Poor Plotting;;;;;;;;;;;;;x
no_plotting_xp_desc;This character has a poor understanding of the plots and schemes which are common in a medieval court.;;;;;;;;;;;;;x
no_latin;Poor Latin;;;;;;;;;;;;;x
no_latin_desc;This character has a poor understanding of Latin, making it difficult to communicate with clergy, scholars, and other learned men.;;;;;;;;;;;;;x
no_law;Poor Law Knowledge;;;;;;;;;;;;;x
no_law_desc;This character has a poor understanding of medieval legal traditions. Ignorance of the structure of the feudal contract will most likely displease subjects.;;;;;;;;;;;;;x
no_rhetoric;Poor Rhetoric;;;;;;;;;;;;;x
no_rhetoric_desc;This character has a poor grasp of medieval rhetoric, which may make it more difficult to converse with learned men or persuade them to your side.;;;;;;;;;;;;;x
no_theology;Poor Theology;;;;;;;;;;;;;x
no_theology_desc;This character has a poor understanding of theology. The Pope isn't going to like this...;;;;;;;;;;;;;x
patched_up;Patched Up;;;;;;;;;;;;;x
patched_up_desc;Sterile bandages, sutures, antibiotics, and pain medication will preserve this character's health, despite unhealed injuries.;;;;;;;;;;;;;x
recent_visit;Recent Visit;;;;;;;;;;;;;x
recent_visit;The traveller has recently visited this county.;;;;;;;;;;;;;x

# buildings
ca_workshop_elec1;Portable Generator;;;;;;;;;;;;;x
ca_workshop_elec1_desc;A portable diesel generator, rigged to run on rendered animal fat.;;;;;;;;;;;;;x
ca_workshop_elec2;Electric Dynamo;;;;;;;;;;;;;x
ca_workshop_elec2_desc;Large scale electric dynamo powered by windmill, water wheel, or wood-fired boiler.;;;;;;;;;;;;;x
ca_workshop_elec3;Electrification;;;;;;;;;;;;;x
ca_workshop_elec3_desc;Copper wires supply electricity to all parts of the castle.;;;;;;;;;;;;;x
ca_workshop_water1;Running Water;;;;;;;;;;;;;x
ca_workshop_water1_desc;Aqueducts carry water to the castle, and sewers carry waste away.;;;;;;;;;;;;;x
ca_workshop_water2;Water Treatment;;;;;;;;;;;;;x
ca_workshop_water2_desc;Finally, some water that tastes decent... and a lot lower chance of dysentery.;;;;;;;;;;;;;x
ca_workshop_med1;Medical Chamber;;;;;;;;;;;;;x
ca_workshop_med1_desc;A small room equipped with medical supplies and a couple beds.;;;;;;;;;;;;;x
ca_workshop_med2;Clinic;;;;;;;;;;;;;x
ca_workshop_med2_desc;A larger medical facility capable of treating many more patients. Medical tools are sterilized with heat or alcohol.;;;;;;;;;;;;;x
ca_workshop_med3;Hospital;;;;;;;;;;;;;x
ca_workshop_med3_desc;In addition to treating the sick and injured, the Hospital trains new physicians and surgeons in modern techniques such as hand-washing. Simple antibiotics and painkillers are available.;;;;;;;;;;;;;x
ca_workshop_chem1;Distillery;;;;;;;;;;;;;x
ca_workshop_chem1_desc;The distillery produces delicious brandy and liquor, which may also serve a useful medical role.;;;;;;;;;;;;;x
ca_workshop_chem2;Chemical Workshop;;;;;;;;;;;;;x
ca_workshop_chem2_desc;The chemical workshop includes the alembics, calcinators, and retorts used to mix and refine various substances, including simple medicine and gunpowder.;;;;;;;;;;;;;x
ca_workshop_chem3;Laboratory;;;;;;;;;;;;;x
ca_workshop_chem3_desc;The Laboratory is an advanced facility for producing medicine, propellants, and other chemical substances.;;;;;;;;;;;;;x
ca_workshop_smelt1;Smelter;;;;;;;;;;;;;x
ca_workshop_smelt1_desc;The smelter applies modern knowledge to produce higher quality steel than is available elsewhere, as well as other alloys.;;;;;;;;;;;;;x
ca_workshop_smelt2;Glassworks;;;;;;;;;;;;;x
ca_workshop_smelt2_desc;The glassworks produces high quality glass panes, vessels, and jewellery.;;;;;;;;;;;;;x
ca_workshop_mech1;Mechanical Workshop;;;;;;;;;;;;;x
ca_workshop_mech1_desc;A metalworking shop, used to build and maintain tools and simple mechanical technology.;;;;;;;;;;;;;x
